Active Lives Children and Young People Survey Academic Year 21/22
Loneliness (years 7-11)
",""Often / always"",""Some of the time"",""Occasionally"",""Hardly ever"",""Never"""
"East Region,""10.5%"",""22.8%"",""27.2%"",""30.7%"",""8.8%"""
"East Midlands Region,""12.1%"",""24.7%"",""25.4%"",""28.4%"",""9.4%"""
"London Region,""11.9%"",""21.8%"",""25.8%"",""29.8%"",""10.7%"""
"North East Region,""11.2%"",""23.9%"",""26.2%"",""29.1%"",""9.5%"""
"North West Region,""10.4%"",""22.8%"",""25.8%"",""29.7%"",""11.3%"""
"South East Region,""11.6%"",""24.8%"",""26.6%"",""28.4%"",""8.7%"""
"South West Region,""11.7%"",""25.1%"",""27.7%"",""27.1%"",""8.3%"""
"West Midlands Region,""11.5%"",""23.9%"",""23.7%"",""28.5%"",""12.4%"""
"Yorkshire and the Humber Region,""10.7%"",""23.5%"",""25.2%"",""29.6%"",""11.0%"""
"Bedfordshire & Luton AP,""11.5%"",""24.7%"",""28.0%"",""29.0%"",""6.9%"""
"Berkshire AP,""11.9%"",""24.7%"",""22.7%"",""29.9%"",""10.8%"""
"Birmingham AP,""-"",""21.6%"",""19.8%"",""33.2%"",""16.8%"""
"Black Country AP,""11.6%"",""24.6%"",""22.4%"",""27.7%"",""13.7%"""
"Buckinghamshire and Milton Keynes AP,""9.1%"",""21.3%"",""30.1%"",""30.0%"",""9.6%"""
"Peterborough & Cambridgeshire AP,""12.7%"",""21.6%"",""25.9%"",""29.3%"",""10.5%"""
"Cheshire AP,""12.5%"",""20.6%"",""22.7%"",""33.0%"",""11.2%"""
"Cornwall and Isles of Scilly AP,""16.7%"",""26.0%"",""26.7%"",""22.1%"",""8.5%"""
"Cumbria AP,""11.1%"",""21.8%"",""27.3%"",""28.7%"",""11.2%"""
"Derbyshire AP,""14.9%"",""25.1%"",""23.9%"",""27.2%"",""8.8%"""
"Devon AP,""13.6%"",""25.0%"",""23.9%"",""26.1%"",""11.4%"""
"Dorset AP,""13.6%"",""28.0%"",""29.8%"",""22.2%"",""6.4%"""
